kepid,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_steff,koi_srad,koi_kepmag
5794379,CONFIRMED,12.71809866,1149.4,3.0957,2.31,4702.0,0.686,15.389
5794379,CONFIRMED,36.06588163,1563.8,4.3246,2.64,4702.0,0.686,15.389
5881688,CONFIRMED,4.190425659,2877.4,2.8589,6.21,6073.0,1.135,15.27
6022556,CONFIRMED,3.709870784,2020.3,3.0694,4.35,5727.0,0.978,15.581
6032497,CONFIRMED,16.3297527,1187.5,6.271,3.75,5878.0,0.987,15.447
6061119,CONFIRMED,27.807566216,25391.1,4.21587,13.84,5862.0,0.785,15.482
6191521,CONFIRMED,80.8723469,3604.6,11.195,7.59,5510.0,1.238,15.201
6267425,FALSE POSITIVE,3.166465862,4357.2,2.9381,26.82,4968.0,0.704,15.999
3531558,CONFIRMED,24.99324319,269.6,5.9409,2.29,5718.0,1.317,12.377
6276477,CONFIRMED,10.35533116,750.6,3.1775,2.47,5501.0,0.918,15.018
6863998,CONFIRMED,16.08518937,1442.4,3.984,3.68,5239.0,0.826,15.219
6948054,CONFIRMED,7.49018305,1123.6,2.7297,2.56,5103.0,0.787,15.599
6948054,CONFIRMED,36.2761238,1572.6,4.7865,3.03,5103.0,0.787,15.599
6948054,CONFIRMED,17.46087931,812.4,2.2641,2.32,5103.0,0.787,15.599
6435936,CONFIRMED,56.0560754,1626.0,4.685,1.94,3593.0,0.491,15.849
6522242,CONFIRMED,41.408316686,22838.9,5.0264,11.38,5522.0,0.747,15.196
6587280,CONFIRMED,5.715425977,908.1,2.5242,2.47,5237.0,0.826,15.086
9471974,CONFIRMED,49.18394185,1646.2,11.3364,8.2,5626.0,2.057,12.654
6587280,CONFIRMED,20.0261412,421.2,1.611,2.28,5237.0,0.826,15.086
6675056,FALSE POSITIVE,10.44331991,1159.8,2.743,2.66,4947.0,0.802,15.546
6685526,CONFIRMED,2.237489571,315.8,1.8119,1.41,5265.0,0.81,15.001
6756669,FALSE POSITIVE,5.851520671,33003.6,3.11058,14.62,5532.0,0.806,15.33
6784235,CONFIRMED,3.167893418,781.2,2.1814,2.62,5895.0,0.94,15.533
6849310,CONFIRMED,4.311780262,1154.0,2.7251,3.11,5527.0,0.927,15.604
6849310,CONFIRMED,20.0504494,840.9,4.556,2.69,5527.0,0.927,15.604
