koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,ra,dec,target_planet,mission,tid,toi
0.6047392,5.6e-06,-5.6e-06,2458654.249503,0.000554,-0.000554,1.0403847,0.2214539,-0.2214539,1027.6833479,64.46101,-64.46101,1.8625587,1.4926332,-1.4926332,1222.5973095,528.0253155,,,4046.0,170.0,-170.0,4.60963,0.230678,-0.230678,0.580337,0.0172756,-0.0172756,11.1186,309.971209,-65.449699,1,TESS,351601843,1075.01
2.5495611,7e-07,-7e-07,2458654.163257,0.000119,-0.000119,2.6173308,0.0193336,-0.0193336,14921.4021936,81.960434,-81.960434,12.9171288,0.6510275,-0.6510275,1337.8645148,757.1284067,,,5659.0,131.1,-131.1,4.44653,0.0852564,-0.0852564,1.03997,0.0519397,-0.0519397,11.2474,294.633694,-55.330269,1,TESS,360742636,1076.01
2.1713484,0.0002637,-0.0002637,2459229.630046,0.001657,-0.001657,2.0172196,0.3195879,-0.3195879,656.8860989,37.77821,-37.77821,5.8181633,1.9105465,-1.9105465,3127.2040524,22601.9485814,,,10249.0,264.7,-264.7,4.19,0.07,-0.07,2.16986,0.0725729,-0.0725729,9.604,112.357708,-12.69596,0,TESS,50365310,1000.01
1.8675574,3e-06,-3e-06,2459224.687802,0.000625,-0.000625,1.408,0.184,-0.184,1500.0,1.7584,-1.7584,23.7529,0.6872333500000001,-0.6872333500000001,2037.0,2860.61,,,8924.0,124.0,-124.0,4.36,0.0852564,-0.0852564,5.73,0.06,-0.06,9.299501,104.726966,-10.580455,0,TESS,124709665,1002.01
2.74323,0.00108,-0.00108,2458493.3957,0.00535,-0.00535,3.167,0.642,-0.642,383.41,0.781988,-0.781988,9.43898,0.6872333500000001,-0.6872333500000001,1631.0,1177.36,,,5388.5,567.0,-567.0,4.15,1.64,-1.64,1.2,0.06,-0.06,9.3003,110.559945,-25.207017,0,TESS,106997505,1003.01
3.5730141,1.28e-05,-1.28e-05,2459987.047262,0.003748,-0.003748,3.37,1.029,-1.029,755.0,1306.55,-1306.55,11.3113,3.24714,-3.24714,4260.0,54679.3,,,9219.0,171.1,-171.1,4.14,0.07,-0.07,2.15,0.06,-0.06,9.1355,122.178195,-48.802811,0,TESS,238597883,1004.01
4.5505945,3.1e-06,-3.1e-06,2459985.156855,0.000581,-0.000581,2.654,0.339,-0.339,3731.0,123.723,-123.723,7.10841,0.474611,-0.474611,1257.0,414.775,,,5613.0,179.9,-179.9,4.36,0.0852564,-0.0852564,1.09,0.07,-0.07,9.1309,120.704811,-11.101521,0,TESS,169904935,1005.01
2.5047918,0.0004076,-0.0004076,2459229.984579,0.002159,-0.002159,4.3797563,0.1036554,-0.1036554,2270.5402194,81.38088,-81.38088,8.6950898,8.438766,-8.438766,1649.8220699,1750.932635,,,6616.0,200.0,-200.0,4.36,0.0852564,-0.0852564,1.53429,1.4887,-1.4887,9.2386,124.359239,-27.273521,0,TESS,156115721,1006.01
2.0483755,5.5e-06,-5.5e-06,2460258.236122,0.002805,-0.002805,2.767,0.861,-0.861,483.0,41.94,-41.94,3.19621,0.6872333500000001,-0.6872333500000001,1245.1929616500001,5644.4,,,6858.5,584.6,-584.6,4.2,1.9,-1.9,1.57,0.06,-0.06,8.9362,109.382839,13.395219,0,TESS,440801822,1008.01
1.4303699,8e-07,-8e-07,2458326.009117,0.000132,-0.000132,1.6165994,0.0192089,-0.0192089,18960.7122944,184.79134,-184.79134,13.1874503,0.6576402,-0.6576402,1525.9048089,1281.2408254,,,5600.0,131.1,-131.1,4.48851,0.0852564,-0.0852564,0.890774,0.0438467,-0.0438467,12.4069,318.737012,-55.871863,1,TESS,231663901,101.01
0.6808702,3.9e-05,-3.9e-05,2459228.878101,0.000791,-0.000791,2.4634563,0.0557065,-0.0557065,1507.8006889,39.971123,-39.971123,5.9115908,1.5360428,-1.5360428,4382.0266062,87140.6995884,,,9438.0,782.0,-782.0,4.36,0.0852564,-0.0852564,1.0,0.06,-0.06,8.45086,112.293981,-21.832912,0,TESS,139853601,1010.01
