kepid,koi_srad,koi_steff,koi_disposition
9414417,1.762,6247.0,CANDIDATE
3632418,1.733,6202.0,CONFIRMED
3441784,1.717,7240.0,FALSE POSITIVE
5820218,0.561,3995.0,FALSE POSITIVE
5876368,0.802,5791.0,FALSE POSITIVE
5809890,0.766,5041.0,CONFIRMED
5809890,0.766,5041.0,CONFIRMED
6131236,0.97,6061.0,CONFIRMED
9048161,1.889,6266.0,FALSE POSITIVE
3218908,4.885,4941.0,CONFIRMED
3218908,4.885,4941.0,CONFIRMED
3235672,,,FALSE POSITIVE
2837111,0.96,5982.0,CONFIRMED
3120276,0.853,5699.0,FALSE POSITIVE
2307199,1.041,6276.0,CANDIDATE
3547091,0.707,5534.0,FALSE POSITIVE
3869825,1.241,6715.0,FALSE POSITIVE
3655332,1.626,5751.0,FALSE POSITIVE
4042026,0.784,5114.0,FALSE POSITIVE
3344419,1.061,5555.0,FALSE POSITIVE
11192141,15.76,4283.0,FALSE POSITIVE
11494130,2.534,6362.0,FALSE POSITIVE
5648449,101.451,3598.0,FALSE POSITIVE
12167361,1.938,8214.0,FALSE POSITIVE
8607720,5.324,5066.0,FALSE POSITIVE
1433962,0.651,4506.0,FALSE POSITIVE
9032900,1.744,6038.0,CONFIRMED
5956342,1.067,5839.0,CONFIRMED
5956342,1.067,5839.0,CONFIRMED
5956342,1.067,5839.0,CONFIRMED
5956342,1.067,5839.0,CONFIRMED
5956656,1.107,5553.0,CONFIRMED
3109930,0.973,6085.0,CONFIRMED
2854914,1.225,5952.0,CONFIRMED
2854914,1.225,5952.0,CONFIRMED
3337425,1.068,5766.0,FALSE POSITIVE
3116412,1.242,5765.0,CONFIRMED
3865567,0.996,6122.0,FALSE POSITIVE
3544689,0.911,5778.0,FALSE POSITIVE
4037164,0.55,3920.0,FALSE POSITIVE
3443790,2.789,6261.0,FALSE POSITIVE
3966912,0.853,5587.0,FALSE POSITIVE
8394721,1.324,6198.0,CONFIRMED
11607193,1.739,7443.0,FALSE POSITIVE
1161345,0.815,5296.0,CONFIRMED
10227501,0.892,5346.0,FALSE POSITIVE
2854698,0.849,5251.0,CONFIRMED
2854698,0.849,5251.0,CONFIRMED
8559644,1.235,5873.0,CONFIRMED
6032981,16.959,5234.0,FALSE POSITIVE
5866099,1.239,5589.0,FALSE POSITIVE
5964985,1.469,7117.0,FALSE POSITIVE
6066416,1.521,6802.0,FALSE POSITIVE
1996679,1.095,6148.0,FALSE POSITIVE
2849805,0.983,5751.0,CONFIRMED
3114811,2.867,6353.0,CONFIRMED
2853446,1.07,5973.0,CANDIDATE
3003992,0.874,5370.0,FALSE POSITIVE
3942446,0.92,5697.0,CANDIDATE
3554031,0.554,4362.0,CONFIRMED
3554031,0.554,4362.0,CANDIDATE
