index,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,sci_std_dev,sci_skewness,sci_kurtosis,sci_mad,sci_amplitude,sci_transit_depth_p1,sci_transit_depth_p5,sci_transit_depth_min,sci_below_above_ratio,sci_transit_fraction,sci_low_cluster_mean_gap,sci_low_cluster_std_gap,sci_rms,sci_snr_approx,sci_iqr,sci_cv,sci_max_sigma,kepid,target_label,target_id
KIC 5871985,1999.9990338281705,0.9999961275658348,0.9999995169140853,2000.0,0.00039559643364019923,1.5649653830884454e-07,0.9999995951623891,1.0017851278319774,1.0017851278319774,0.9985547450410398,0.00039319662408625675,0.14698200332490666,0.8194357407708939,0.000246348139783914,0.00326828942292956,0.0008782487490581747,0.000617367014648984,0.0014790478841500976,1.0,0.02504244482173175,39.3448275862069,57.19644060668218,1.0000001869105954,2.2336121300611946,0.0004902853866960433,0.00039319824158853773,3.761598634238615,5871985,1,KIC 5871985
KIC 8874090,1999.9875320244485,0.9999930563421131,0.9999937660122242,2000.0,0.0006390001803339297,4.083212304667946e-07,0.9999939701740914,1.0039271178040206,1.0039271178040206,0.9954298971192026,0.0006433168781015224,-0.19662518990584252,4.758527914140475,0.00036110479373663296,0.008497220684817952,0.0018919150433343024,0.0009427499206386969,0.004567776824668801,1.0,0.03353140916808149,23.71794871794872,41.811818178380925,0.9999956298730249,2.940875807451981,0.000717834105816717,0.00064331837449617,7.100352843451989,8874090,1,KIC 8874090
KIC 10864531,1999.9902552314206,1.0000040836001802,0.9999951276157103,2000.0,0.00043102372261215685,1.8578144945444154e-07,0.9999952205068835,1.0023814020139443,1.0023814020139443,0.997534517163226,0.0004317104850604302,0.1270436014279698,2.4456988056443603,0.0002560422581053823,0.004846884850718269,0.0010780789338321606,0.0006840155269258741,0.002470367981086574,1.0,0.03607809847198642,25.416666666666668,50.44804218517761,0.9999967183507954,2.497226662635383,0.0005152698372682396,0.000431708376102712,5.722279320458885,10864531,1,KIC 10864531
KIC 11768142,2000.0404628577503,0.9999994339274944,1.000020231428875,2000.0,0.00048548731368389103,2.3569793174800083e-07,1.0000203492754498,1.0028654011098752,1.0028654011098752,0.9985368768445214,0.00048447060915753466,0.5781796450644836,1.9144115738353475,0.0003023296690020105,0.004395424656766678,0.001018021121644952,0.000724244790782258,0.0015260886943635477,1.0,0.01867572156196944,54.06976744186046,45.07327127763024,1.0000153290718714,2.1013062555337045,0.0006049434638764062,0.00048447251548543695,3.1500129533498935,11768142,1,KIC 11768142
KIC 8753896,2000.0241728602027,1.0000044112221995,1.0000120864301014,2000.0,0.00048204606976422155,2.3236841337513273e-07,1.000012202612897,1.0029038606890475,1.0029038606890475,0.9984590962447426,0.000475024608743381,0.2305163072140423,1.0592382377872198,0.00031092929854736884,0.00467583965757723,0.0010733457717838624,0.0007653761198147535,0.0017648866862552959,1.0,0.020528683914510685,48.083333333333336,48.81847043441197,1.0000037823656749,2.2595582460943784,0.0006200311931737756,0.00047502797777588764,3.7153584335853376,8753896,1,KIC 8753896
KIC 11804465,1166.287468623302,0.9999918338735693,0.9993894332676109,1167.0,0.0028628950299294928,8.19616795239499e-06,0.9993935338468571,1.0008924263761738,1.0008924263761738,0.9835561153026249,0.0028628950299294928,-4.744110131511757,21.252809068089178,6.69923022920127e-05,0.017336311073548938,0.016141611398909572,0.001586158624366396,0.01643571857094439,0.9982876712328768,0.06598114824335904,15.342105263157896,27.445904992020672,0.9993935338468571,5.638212798639392,0.00013407881906135621,0.0028629184088831807,5.740943485220682,11804465,1,KIC 11804465
KIC 10028535,1999.971877120788,1.0000025054963118,0.999985938560394,2000.0,0.0005818080246874619,3.385005775907263e-07,0.9999861078130483,1.0057283265390413,1.0057283265390413,0.9933397951695163,0.0005920829792162002,-4.21426624319168,46.415819597601576,0.0002280402975923801,0.012388531369525002,0.0019366926577902843,0.0006000494242273113,0.006663304205815179,1.0,0.03310696095076401,30.584415584415584,58.31115610204586,0.9999803221484874,3.2709818146673957,0.00045731860613229536,0.0005920811441345078,11.254003982070326,10028535,1,KIC 10028535
KIC 8745553,2000.0016157079517,0.9999980034336251,1.000000807853976,2000.0,0.00011713771007421485,1.3721243121430818e-08,1.000000814714592,1.0005333474565299,1.0005333474565299,0.9994648455242842,0.00011583050534117878,0.020785910726094335,0.6271777974147765,7.206489627487045e-05,0.0010685019322457245,0.0002777055496028247,0.00018998394494929016,0.0005313993398970984,0.9994093325457767,0.03249630723781388,30.889908256880734,32.12228339980319,0.9999989191028685,2.3975165159199032,0.00014359276051501002,0.00011583094030209162,4.587732206916145,8745553,1,KIC 8745553
KIC 11519187,2000.0185470284455,1.0000043811193287,1.0000092735142228,2000.0,0.0004891346646788148,2.3925272019045657e-07,1.0000093931394662,1.0024066740325117,1.0024066740325117,0.9984335975912212,0.0004901709704586768,0.20710852584523176,0.7347371209761424,0.0003277689093114655,0.0043644775516090695,0.0010880979382791311,0.0007809964544941428,0.001961349931880796,1.0,0.0171541057367829,58.266666666666666,61.93245424564482,1.0000063464872022,2.2198334945477187,0.0006552297810843433,0.000490169232116246,4.001358811692715,11519187,1,KIC 11519187
KIC 10854768,1999.9987941282334,0.9999998807981454,0.9999993970641167,2000.0,0.00013226206125373889,1.749325284708778e-08,0.9999994058107483,1.0004512689719258,1.0004512689719258,0.9993908258407376,0.00013191442178486383,-0.06244456274318039,0.5653076048989876,8.225948600515398e-05,0.001060443131188249,0.00032024152628751246,0.0002192311437011485,0.000609919261521874,1.0,0.03268251273344652,30.460526315789473,33.985461593496,0.9999995244396965,2.4276460598810563,0.00016422404144966762,0.00013191432349520335,4.623598036282774,10854768,1,KIC 10854768
KIC 3447722,2000.0099110409074,1.0000087033946483,1.0000049555204538,2000.0,0.0003996733098903513,1.5973875463870877e-07,1.000005035389432,1.0021949686033231,1.0021949686033231,0.9982380187740164,0.00039656226575152575,0.02278937488891312,1.2979054911621466,0.00024837215395662193,0.003956949829306722,0.0009650978138399102,0.0006390582834638892,0.0017667197837544224,1.0,0.03183361629881155,29.554054054054053,40.35355300740447,1.0000035839539283,2.433660227381826,0.0004962327105072495,0.0003965603866272241,4.455087980714224,3447722,1,KIC 3447722
KIC 10289119,2000.0012534077146,1.0000014304892852,1.0000006267038573,2000.0,8.258100495821822e-05,6.8196223799092615e-09,1.0000006301136664,1.0005096334430168,1.0005096334430168,0.9997203717642428,8.243655258281185e-05,0.11499428308420691,1.106637951506177,5.4389817391753414e-05,0.0007892616787740225,0.00020803864307894493,0.00013014136767497408,0.0002801944456224392,1.0,0.023769100169779286,42.2,50.24861825327774,1.0000002392097245,2.5236213373910705,0.00010769395236243096,8.243650590644894e-05,3.3989102751594227,10289119,1,KIC 10289119
