index,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,sci_std_dev,sci_skewness,sci_kurtosis,sci_mad,sci_amplitude,sci_transit_depth_p1,sci_transit_depth_p5,sci_transit_depth_min,sci_below_above_ratio,sci_transit_fraction,sci_low_cluster_mean_gap,sci_low_cluster_std_gap,sci_rms,sci_snr_approx,sci_iqr,sci_cv,sci_max_sigma,target_label
train_114,863.9117163783707,0.9999886654192125,0.9998978198823735,864.0,0.0005993005254954871,3.59161119859167e-07,0.9998979994812687,1.0008331797644432,1.0008331797644432,0.9958471497333079,0.0005993005254954871,-4.028993642349413,19.064611512797757,0.00017566427012738473,0.004986030031135291,0.0033746529353045895,0.0006182540951813476,0.004141515685904595,1.0,0.052083333333333336,13.454545454545455,52.00107277977959,0.9998979994812687,5.63098611087402,0.00034709131432797413,0.0005993073183927039,6.910582436884218,0
train_115,864.0854492842512,0.9999891832803087,1.0000988996345501,864.0,0.0014458820010562565,2.0905747609784445e-06,1.0000999448180161,1.012415919919906,1.012415919919906,0.9969678709699091,0.0014458820010562565,3.599016924367394,24.735699665890817,0.0006551426965318297,0.015448048949996962,0.002743216429274553,0.001457512656252602,0.003021312310399593,1.0,0.03125,24.653846153846153,67.35037108440532,1.0000999448180161,1.8972616211216116,0.001328514008299475,0.0014458976409257407,2.0895981194817015,1
train_116,1184.842004465895,1.0000030398655115,0.9998666704353544,1185.0,0.0007647452147849679,5.848352435365066e-07,0.9998669628919264,1.0001451865474293,1.0001451865474293,0.9950547004998797,0.0007647452147849679,-5.960568486965597,33.86270119547859,3.1948284115346226e-05,0.005090486047549692,0.00486353241370463,0.00019017968861845258,0.004948339365631882,0.9983136593591906,0.11814345991561181,8.309352517985612,7.401972244337782,0.9998669628919264,6.359676817424957,6.872867176110908e-05,0.0007647428900694311,6.470572512210178,1
train_117,1166.9632011407339,0.9999878475185477,0.9999684671300204,1167.0,0.00023463745035865542,5.505473311081048e-08,0.9999684946582545,1.0006019893537534,1.0006019893537534,0.9987449257139925,0.00023463745035865542,-0.8324025848732961,1.8907368966734692,0.00014071791357594954,0.001857063639760903,0.0007613908757074794,0.00041974617513707013,0.0012429218045552082,0.9982876712328768,0.04884318766066838,20.571428571428573,24.586477949457986,0.9999684946582545,3.244967393498584,0.00028369921860438296,0.00023464030182057124,5.297201289288382,0
train_118,587.6677793556184,0.9999269757874247,0.999434998904113,588.0,0.0038341702425701506,1.4700861449010448e-05,0.9994423534631267,1.0075720236648302,1.0075720236648302,0.9726649956574335,0.0038341702425701506,-3.694977365745352,19.95210502834631,0.0013744584549653105,0.034907028007396756,0.020311711629004803,0.00479407640793561,0.02726198012999126,1.0,0.05612244897959184,17.53125,28.814042122505132,0.9994423534631267,5.297550798211114,0.0027528357206754173,0.0038344502502803365,7.11026856014531,0
train_119,670.0067218248146,0.9999907753915653,1.0000100325743502,670.0,0.000718282673003353,5.159299983368417e-07,1.0000102905367279,1.002315722295142,1.002315722295142,0.9977903616955028,0.000718282673003353,-0.009651707442072032,0.031873250081088766,0.0004952544375292911,0.00452536059963915,0.0016819077345714417,0.0011095468115166485,0.0022004136960624976,1.0,0.020895522388059702,41.15384615384615,26.226370034892373,1.0000102905367279,2.3415680174197804,0.000991057609782131,0.0007182892989408786,3.0634369709377993,0
train_120,1184.933024714414,1.0000043514689845,0.9999434807716573,1185.0,0.0005745671746792062,3.3012743821884544e-07,0.9999436458446926,1.0001451865474293,1.0001451865474293,0.99271210514299,0.0005745671746792062,-11.769810157173962,138.75033994870427,3.081770123136707e-05,0.007433081404439323,0.0004889533864156359,0.00015310549968206022,0.007292246325994456,0.9983136593591906,0.10548523206751055,9.314516129032258,7.412246770394502,0.9999436458446926,0.8509942926841053,6.568682738294918e-05,0.0005745646744788457,12.691721085643087,1
train_121,1999.8428524610592,0.9999843848094854,0.9999214262305296,2000.0,0.0008215525873147907,6.749486537236268e-07,0.9999217637313182,1.0014654682721291,1.0014654682721291,0.9921936625434413,0.0008232872007296004,-7.907308943242502,68.41683250341137,0.00016934118423950206,0.009331246257007209,0.007102939620796667,0.00042317228083477154,0.007855287079669315,1.0,0.027164685908319185,35.507936507936506,39.30260018696328,0.999921743705782,8.627535584789868,0.0003406713553292251,0.0008232958378481941,9.541369126968,1
train_122,1999.99423576979,0.9999984741792254,0.999997117884895,2000.0,5.6541099363730093e-05,3.1968959172592e-09,0.9999971194833476,1.0003101536204688,1.0003101536204688,0.9996004189141166,5.610758955192273e-05,-1.3461447257319,8.838393555428738,2.9920469906852265e-05,0.0007097347063522719,0.00017738846300641153,7.659161319506502e-05,0.00039795990327762265,1.0,0.038200339558573854,25.528089887640448,27.9751454244658,0.9999969868397679,3.1615769706565957,5.980990322362878e-05,5.610768051271843e-05,7.092799859265832,1
train_123,863.9628274707002,0.9999978786231656,0.9999569762392363,864.0,0.00022687371170864435,5.147168106445707e-08,0.9999570019761836,1.000225904144363,1.000225904144363,0.9984902028664305,0.00022687371170864435,-4.693609667510251,23.1282220407734,3.842147517507666e-05,0.0017357012779325443,0.0013645590293848153,0.00015350306167183358,0.0015076757567350496,1.0,0.05787037037037037,11.0,39.10895299137568,0.9999570019761836,6.0146194070171015,7.621875328789329e-05,0.0002268741929943017,6.645440520104137,0
